higher_group,group,realm,catalogued,predicted,LPD,BioTIME,PREDICTS,monitored,percentage
Eukaryotes,Animalia,Terrestrial,782352,5620000,1079,5722,11090,17891,0.318345196
Eukaryotes,Chromista,Terrestrial,8174,20100,0,0,0,0,0
Eukaryotes,Fungi,Terrestrial,42174,605680,0,0,657,657,0.108473121
Eukaryotes,Plantae,Terrestrial,207044,281400,0,5936,6756,12692,4.510305615
Eukaryotes,Protozoa,Terrestrial,0,0,0,0,0,0,#DIV/0!
Prokaryotes,Archaea,Terrestrial,501,454,0,0,0,0,0
Prokaryotes,Bacteria,Terrestrial,9706,8360,0,0,0,0,0
Eukaryotes,Animalia,Marine,171082,2150000,740,36193,0,36933,1.717813953
Eukaryotes,Chromista,Marine,4859,7400,0,0,0,0,0
Eukaryotes,Fungi,Marine,1097,5320,0,0,0,0,0
Eukaryotes,Plantae,Marine,8600,16600,0,2003,0,2003,12.06626506
Eukaryotes,Protozoa,Marine,8118,36400,0,0,0,0,0
Prokaryotes,Archaea,Marine,1,1,0,0,0,0,0
Prokaryotes,Bacteria,Marine,652,1320,0,0,0,0,0